step,rsa_L0,rsa_L3,rsa_L6,rsa_L8,rsa_L9,rsa_L12
0,-0.0215762729286156,0.0290032345409993,0.037369404197964,0.037635034373,0.0369353548041981,0.028147488496972
1,-0.0215762729286156,0.0290032345409993,0.037369404197964,0.037635034373,0.0369353548041981,0.028147488496972
2,-0.0215743786148881,0.0289994727090826,0.0373664044650376,0.0376531660631658,0.0369317485662038,0.0281545490478313
4,-0.0215756316852041,0.028941767130038,0.037253854388356,0.0380692643002359,0.0365335580580384,0.0283661686954628
8,-0.021573646116475078,0.02869304054763608,0.03656298132425727,0.04009522621558859,0.036327049162689314,0.02867163880870189
16,-0.021551726035884154,0.02663625246497535,0.03729104702448162,0.042604969311998114,0.03966227076107659,0.024108555140801805
32,-0.021478709284475688,0.024835775122411665,0.02525356593032655,0.016937910008225407,0.014116098783577967,0.006739129844196932
64,-0.021264292003543742,0.008553154493380148,0.012594774292290011,0.011461000459147537,0.009889552238056052,0.009012786504232751
128,-0.021040769849772867,0.013497530827335402,0.004008380204770858,0.001941238664665522,0.004064962823996912,0.004966842187741967
256,-0.018162953243790747,0.009468595303025528,-0.010366527498975051,-0.011863498253933546,-0.009979304950466535,-0.004133246130915124
512,-0.013002541856086937,0.02185970275723958,0.04333814939207538,0.026714396374407638,0.0160481809448128,0.019313636528639766
1000,0.015475089338130682,0.0763967466182476,0.0687233446477857,0.05382140289919742,0.044260944503352516,0.03955988796090169
2000,0.11838186608416405,0.14558462128039804,0.1303959231895367,0.13365250855945224,0.10530084359195978,0.09669374866985438
3000,0.12034292835321674,0.13575316497683693,0.14453796718237008,0.15042830186122252,0.15728954564521921,0.14582081242164993
5000,0.12180969348616262,0.1553246903006108,0.16471605901611514,0.1759606350279496,0.19213248125548857,0.19168565481612734
7000,0.1162397140960957,0.13495909719631097,0.1863466535254992,0.2219194667868878,0.23911973329381028,0.16260999582844407
10000,0.09730377111955947,0.12617201215648788,0.21752368032601407,0.27306041592117575,0.28589142482373103,0.24922509292117878
15000,0.10140075832882729,0.136354016352411,0.287170489742851,0.3158628012312447,0.3296167005306385,0.28568423988113695
20000,0.10433449596378983,0.1565320247314215,0.2861722467284764,0.3072465850096322,0.3096041120290443,0.2901470647532719
30000,0.09493494309657176,0.15564822769402667,0.32118868953438584,0.3649047232838419,0.34122835593353873,0.28914281021549465
40000,0.10515091800436416,0.17355815261869936,0.3292877383527506,0.3441461237995186,0.3255172391600097,0.32514933033317456
50000,0.08912662237394382,0.1650028031565599,0.33653316713078385,0.35099902876747185,0.3613660377646082,0.3263361678359659
60000,0.08777148485551421,0.18854276777264994,0.37131744241016473,0.41792018138603526,0.41152675370068253,0.3060582652114227
70000,0.08406870237960322,0.19318218067840953,0.3268437479617763,0.3507691708285663,0.3485845264030958,0.31964278107970356
80000,0.09288686181078099,0.18876179087961686,0.36958089050802245,0.40216318489295,0.4137811380263274,0.3687396080825771
90000,0.08530674644032277,0.1845395474778651,0.36653235987319294,0.36601322432740335,0.35734019272432277,0.3493728304068009
100000,0.08820452322739451,0.19645736126368885,0.3607994142900449,0.36846086504372133,0.31558313648029285,0.3196412037872807
110000,0.0888732396767935,0.2144483580831452,0.35759483441095025,0.37064530393434036,0.29579649898286425,0.33393810977823896
120000,0.09495466822990298,0.19940111055279638,0.3465206246751335,0.3625447068647286,0.31606744965694245,0.32968820924247344
130000,0.0891970771540358,0.21403256565439746,0.3213098706732659,0.33457359740384884,0.3086435618433117,0.31498444039692486
143000,0.08755973492005369,0.2160432833227121,0.2996174054536388,0.363179075302369,0.31989571086218394,0.3149309012681953
