step,rsa_L0,rsa_L4,rsa_L8,rsa_L10,rsa_L12,rsa_L16
0,0.037560594934943965,0.0012907975335554349,-0.0018530003393061414,0.0058020032939408925,0.007855288070922556,0.007669975276600194
1,0.037560594934943965,0.0012907975335554349,-0.0018530003393061414,0.0058020032939408925,0.007855288070922556,0.007669975276600194
2,0.037560179880969255,0.0012892802197144277,-0.001851545127000167,0.005813030634454833,0.007862585155872853,0.007667751493388202
4,0.037560126682669885,0.0013105440903552741,-0.001802611631960505,0.005853892393335216,0.007892852038364108,0.007702848609777524
8,0.03755898638534798,0.002549204860379329,0.000994880359500398,0.008612013207034891,0.009352107560309993,0.009707183547040706
16,0.03756739316721941,0.005756415181592766,0.0061243613559158324,0.004033278509522853,0.0026585773501200272,0.006481936759389234
32,0.037592839332311036,-0.006506752743022438,0.002055586181959647,-0.0022162820349733363,0.0013028534552191465,0.0030582373541505298
64,0.03751333970498797,0.010826917053743548,0.01630706895014168,0.020859656201338287,0.024940425545813487,0.022348481390831666
128,0.03697782729097858,-0.0008479090693960769,0.0014375136570471765,1.4869329373769748e-06,-0.007831821646602106,-0.008768024774032879
256,0.037826410082264464,0.02003061864039495,0.019681035723030312,0.027497595273298286,0.03174767650742344,0.03755746813357183
512,0.04027300420004447,0.07657671865994596,0.053031741112312125,0.05063668139264358,0.048231104521407886,0.04852694757760034
1000,0.07824451760839955,0.07428161328805916,0.09323113046139507,0.10816872034609971,0.11742592111698186,0.08982688359423822
2000,0.15118275181369872,0.14416824483818924,0.17413972442535255,0.17328755322846734,0.16949921226265044,0.11364337074315241
3000,0.14128770951133898,0.14864176786941896,0.2266616259712724,0.2335067451834177,0.23536481420755415,0.20711111378293404
5000,0.13930996239961346,0.16216666457395046,0.3293339693695396,0.35452520258965387,0.3541049472803631,0.2922100856205297
7000,0.15081662455649308,0.154210619369754,0.3807378447990518,0.4136302728483705,0.42274701266411735,0.36076334438701474
10000,0.14091695146118918,0.1912514687495175,0.4027841521985763,0.4484068992508993,0.4595729082466599,0.3825689217918741
15000,0.14118905961616518,0.20800753099410776,0.45614100956317805,0.4746915017016137,0.4813209844118767,0.41968264873486527
20000,0.13124986308685518,0.23759818226486165,0.45438328583999843,0.47993244955327913,0.4738797941583487,0.38935537665394765
30000,0.13083650354985632,0.268396519655272,0.509515276236731,0.5475325761242605,0.5639310764038774,0.47995189498049823
40000,0.13767340674106418,0.26279913224194956,0.4955922905135655,0.4984823445441301,0.5117659093658365,0.4038207928620682
50000,0.15401271377193532,0.3504554724371306,0.531238423386513,0.5580588416121147,0.5773843485616497,0.4784659901708247
60000,0.1462874409993262,0.3840694456285512,0.5298075177202837,0.5410640691670596,0.5468758668809627,0.45306742024787666
70000,0.14360969984360228,0.3516260845999309,0.5489695903101831,0.5564649735826495,0.5605474659613178,0.4526280708085999
80000,0.1483565117347039,0.39328023303538884,0.5534819484219533,0.5656628117785675,0.570800596428325,0.44882850086293374
90000,0.14657249272109357,0.3868336312662076,0.5543304218052981,0.5784334999946896,0.6017120511979892,0.4921477495611022
100000,0.14846017506586728,0.40828544384498994,0.5682207962666496,0.5919934197595813,0.6184267702473714,0.4695492866339476
110000,0.14487959211829443,0.4125246476026109,0.5756998473712934,0.6064584550109573,0.6258802328401263,0.5068378116105928
120000,0.1456029000986712,0.4070364932236737,0.5662211681022175,0.5964657437344552,0.6154792786863728,0.49101172609830734
130000,0.1427614324961821,0.40925249342114617,0.5709466164292665,0.6025426573328192,0.617482413639776,0.4844596268267708
143000,0.14115418206397362,0.4127171787677242,0.577088253306857,0.6094585912778135,0.6217305668613589,0.49211309626560695
