layer,rsa_attn,rsa_mlp,rsa_resid,p_attn,p_mlp,p_mlp_gt_attn
1,0.03821970886550604,0.0727640505962513,0.1085662689185503,0.001,0.0,0.009
2,0.0026290141544882298,-0.02460836521653593,0.10455213231576697,0.359,0.996,0.979
3,0.1133359368569451,0.03502051782495681,0.2160432833227121,0.0,0.01,1.0
4,0.021719804178600536,0.16926683610959095,0.16434683350482576,0.042,0.0,0.0
5,0.11177330097352528,0.1519545837987133,0.33244432718376515,0.0,0.0,0.002
6,0.25962126717357625,0.13781069743285898,0.2996174054536388,0.0,0.0,1.0
7,0.09042217913935292,0.15033684344863507,0.3223383179533168,0.0,0.0,0.0
8,0.3416603952615891,0.20823643803546313,0.363179075302369,0.0,0.0,1.0
9,0.10351350735055516,0.20914877032628706,0.31989571086218394,0.0,0.0,0.0
10,0.06805283925889304,0.18092087309977856,0.2752689376345576,0.0,0.0,0.0
11,0.10045974143059415,0.19646834777342256,0.2908231438013089,0.0,0.0,0.0
12,0.09299411268749665,0.1656477608849551,0.3149309012681953,0.0,0.0,0.0
