layer,rsa_attn,rsa_mlp,rsa_resid,p_attn,p_mlp,p_mlp_gt_attn
1,0.01746984314897333,0.13051850494484604,0.1336818890780495,0.066,0.0,0.0
2,0.008306166609680688,0.05556235613684998,0.13838144652695702,0.194,0.001,0.001
3,0.08143413116187696,0.21438703468261386,0.3079086872961596,0.0,0.0,0.0
4,0.05521080388149405,0.3365966784510453,0.4127171787677242,0.0,0.0,0.0
5,0.07661523329821454,0.14805570587238745,0.4455310007015292,0.0,0.0,0.0
6,0.026297835972478582,0.3986504341743175,0.5054384927678782,0.02,0.0,0.0
7,0.09338363464169709,0.47125961264356064,0.5494710745921859,0.0,0.0,0.0
8,0.09547662006641593,0.5040917082580643,0.577088253306857,0.0,0.0,0.0
9,0.34210347573965494,0.5361307035197715,0.5851432770835708,0.0,0.0,0.0
10,0.5119980546941064,0.49767676611114364,0.6094585912778135,0.0,0.0,0.896
11,0.4844197080507412,0.5355258481101107,0.5952206248788452,0.0,0.0,0.0
12,0.5587666787420981,0.5226727900503283,0.6217305668613589,0.0,0.0,1.0
13,0.33478857453294425,0.6047676870275296,0.6196562010762716,0.0,0.0,0.0
14,0.21634422134301037,0.5969531693872758,0.6125273090131568,0.0,0.0,0.0
15,0.45678671982696833,0.45825861951412583,0.6068876414196338,0.0,0.0,0.406
16,0.4803654245265943,0.3312216929999644,0.49211309626560695,0.0,0.0,1.0
