grandparent,parent,child,child_level,category,orth_cos
animal,mammal,cat,3,animal,0.6121937803748436
animal,mammal,horse,3,animal,0.6642261777496391
animal,mammal,rabbit,3,animal,0.6479252461505306
animal,bird,sparrow,3,animal,0.28133337558280835
animal,bird,eagle,3,animal,0.37310056198478053
animal,bird,penguin,3,animal,0.2904624094200606
animal,fish,shark,3,animal,0.2373659107001369
animal,dog,dachshund,4,animal,0.32382092639664817
animal,dog,poodle,4,animal,0.34523838461369816
animal,bird,mallard,4,animal,0.3650554001993099
animal,bird,robin,3,animal,0.28266036345086837
animal,bird,crow,3,animal,0.25342613606188974
animal,bird,emu,3,animal,0.3941063945625018
animal,dog,dalmatian,4,animal,0.4080962913201034
animal,mammal,bat,3,animal,0.4822131115057406
animal,mammal,whale,3,animal,0.5259857418691558
animal,mammal,platypus,3,animal,0.08711373280001376
vehicle,aircraft,jet,3,vehicle,0.43345865426552627
vehicle,aircraft,helicopter,3,vehicle,0.4684820952466844
vehicle,boat,canoe,3,vehicle,0.2916960710351764
vehicle,aircraft,biplane,4,vehicle,0.45565137797528116
vehicle,boat,ferry,3,vehicle,0.3245061045669943
vehicle,aircraft,glider,3,vehicle,0.43205748381397935
tool,hammer,sledgehammer,4,tool,0.1818908361606102
tool,saw,hacksaw,4,tool,0.3944324492998376
tool,knife,scalpel,3,tool,0.3243442544523345
food,vegetable,tomato,3,food,0.464556039936818
food,vegetable,cucumber,3,food,0.30136631247820694
furniture,seat,chair,3,furniture,0.5431918037411797
furniture,seat,sofa,3,furniture,0.6907416825828013
furniture,seat,stool,3,furniture,0.6542386697289093
furniture,table,desk,3,furniture,0.5973390759515049
furniture,seat,bench,3,furniture,0.35726305495995986
seat,chair,armchair,4,furniture,0.30844388597331746
chair,armchair,recliner,4,furniture,0.2335471453731369
seat,sofa,loveseat,4,furniture,0.37144420596022143
furniture,bed,hammock,3,furniture,0.6944071035144761
seat,bench,pew,3,furniture,0.5263545782745384
seat,chair,highchair,3,furniture,0.11269850393724934
