layer,rho_trained,rho_random,p_value,significant
0,0.08755973492005369,0.013594741681449165,0.0,True
1,0.1085662689185503,-0.0035155968775338288,0.0,True
2,0.10455213231576697,0.001837832539195961,0.0,True
3,0.2160432833227121,0.0007376029955102418,0.0,True
4,0.16434683350482576,0.011282257174539276,0.0,True
5,0.33244432718376515,0.010834828620294881,0.0,True
6,0.2996174054536388,0.0024676391419389096,0.0,True
7,0.3223383179533168,0.0021092507298198526,0.0,True
8,0.363179075302369,0.005238229523404709,0.0,True
9,0.31989571086218394,0.00458067093392176,0.0,True
10,0.2752689376345576,0.0037942135079216013,0.0,True
11,0.2908231438013089,0.002291631086772412,0.0,True
12,0.3149309012681953,0.003716230901713063,0.0,True
